"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/14/2026 14:46:38:973 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"5","4","4","175","1500","34.17916186082276","31","0"
"6","4","4","175","1500","67.47404844290658","37","0"
"3","4","4","150","1500","49.058054594386775","27","0"
"4","4","4","175","1500","47.28950403690888","24","0"
"2","4","4","150","1500","44.59823144944252","30","0"
"1","4","4","150","1500","49.86543637062668","23","0"
"7","4","4","200","1500","75.77854671280276","14","0"
"8","4","4","200","1500","48.289119569396384","9","0"
"9","4","4","200","1500","32.17993079584775","29","0"
"10","4","4","225","1500","54.36370626682045","19","0"
"11","4","4","225","1500","58.246828143021915","15","0"
"14","4","4","250","613","38.292964244521336","0","0"
"13","4","4","250","1500","42.40676662821991","42","0"
"15","4","4","250","1500","84.12149173394849","5","0"
"12","4","4","225","1500","62.47597078046905","19","0"
"16","4","6","150","1500","52.09534794309881","31","0"
"17","4","6","150","1500","30.91118800461361","57","0"
"18","4","6","150","1500","42.1760861207228","50","0"
"24","4","6","200","592","52.441368704344484","0","0"
"19","4","6","175","1500","33.48712033833141","30","0"
"20","4","6","175","1500","73.89465590157631","10","0"
"27","4","6","225","231","62.20684352172241","0","0"
"28","4","6","250","134","50.21145713187236","0","0"
"29","4","6","250","137","48.32756632064591","0","0"
"25","4","6","225","637","66.85890042291426","0","0"
"22","4","6","200","1500","31.295655517108806","24","0"
"23","4","6","200","1500","61.13033448673587","31","0"
"30","4","6","250","215","60.70742022299116","0","0"
"32","4","8","150","93","53.47943098808151","0","0"
"21","4","6","175","1500","54.863514033064206","10","0"
"35","4","8","175","97","46.44367550941946","0","0"
"26","4","6","225","991","18.33910034602076","0","0"
"37","4","8","200","156","48.55824682814302","0","0"
"36","4","8","175","178","66.35909265667051","0","0"
"40","4","8","225","103","47.05882352941177","0","0"
"38","4","8","200","491","36.17839292579777","0","0"
"41","4","8","225","212","62.93733179546329","0","0"
"34","4","8","175","979","28.719723183391004","0","0"
"42","4","8","225","157","54.402153018069974","0","0"
"43","4","8","250","113","44.32910419069589","0","0"
"44","4","8","250","153","54.094579008073815","0","0"
"45","4","8","250","130","48.59669357939254","0","0"
"31","4","8","150","1500","37.40868896578239","51","0"
"33","4","8","150","1500","39.83083429450212","5","0"
"50","4","10","175","461","41.63783160322953","0","0"
"39","4","8","200","1500","63.89850057670127","26","0"
"51","4","10","175","110","41.44559784698193","0","0"
"49","4","10","175","825","63.32179930795848","0","0"
"53","4","10","200","522","21.06881968473664","0","0"
