"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler_changed.nlogox"
"experiment_100_100"
"08/14/2026 13:02:43:785 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"6","4","4","175","1500","79.8154555940023","16","0"
"5","4","4","175","1500","33.52556708958093","28","0"
"4","4","4","175","1500","59.70780469050365","26","0"
"3","4","4","150","1500","45.40561322568243","33","0"
"2","4","4","150","1500","60.09227220299885","15","0"
"10","4","4","225","310","90.27297193387159","0","0"
"12","4","4","225","175","57.09342560553633","0","0"
"1","4","4","150","1500","55.67089580930411","33","0"
"7","4","4","200","1500","41.753171856978085","21","0"
"8","4","4","200","1500","47.712418300653596","21","0"
"9","4","4","200","1500","43.790849673202615","17","0"
"14","4","4","250","648","40.90734332948866","0","0"
"13","4","4","250","1044","30.87274125336409","0","0"
"19","4","6","175","195","71.54940407535564","0","0"
"11","4","4","225","1500","57.70857362552864","17","0"
"16","4","6","150","374","57.90080738177624","0","0"
"22","4","6","200","558","62.78354479046521","0","0"
"20","4","6","175","754","67.62783544790466","0","0"
"15","4","4","250","1500","74.240676662822","17","0"
"17","4","6","150","1500","78.77739331026528","19","0"
"24","4","6","200","634","69.97308727412533","0","0"
"26","4","6","225","131","48.25067281814687","0","0"
"25","4","6","225","530","33.0642060745867","0","0"
"29","4","6","250","140","42.599000384467516","0","0"
"21","4","6","175","1500","55.82468281430219","24","0"
"30","4","6","250","110","38.10073048827374","0","0"
"18","4","6","150","1500","34.21760861207228","44","0"
"23","4","6","200","1500","67.85851595540177","24","0"
"34","4","8","175","116","43.021914648212224","0","0"
"27","4","6","225","1500","76.93194925028835","5","0"
"28","4","6","250","1500","49.058054594386775","78","0"
"36","4","8","175","429","29.257977700884275","0","0"
"31","4","8","150","1500","34.602076124567475","52","0"
"32","4","8","150","1500","46.866589773164165","30","0"
"40","4","8","225","227","66.1284121491734","0","0"
"35","4","8","175","1500","46.78969627066513","34","0"
"42","4","8","225","84","37.79315647827759","0","0"
"33","4","8","150","1500","28.642829680891964","78","0"
"38","4","8","200","1161","37.10111495578624","0","0"
"41","4","8","225","831","24.721261053440983","0","0"
"44","4","8","250","306","88.77354863514033","0","0"
"43","4","8","250","531","16.070742022299115","0","0"
"45","4","8","250","126","42.79123414071511","0","0"
"37","4","8","200","1500","30.026912725874663","7","0"
"49","4","10","175","96","53.44098423683199","0","0"
"48","4","10","150","167","73.16416762783545","0","0"
"51","4","10","175","118","49.51941560938101","0","0"
"52","4","10","200","170","55.97846981930027","0","0"
"39","4","8","200","1500","64.59054209919262","20","0"
"54","4","10","200","150","52.8642829680892","0","0"
"50","4","10","175","444","42.79123414071511","0","0"
"55","4","10","225","164","52.364475201845444","0","0"
"56","4","10","225","119","47.866205305651675","0","0"
"53","4","10","200","448","12.995001922337563","0","0"
"58","4","10","250","117","46.67435601691657","0","0"
"60","4","10","250","101","45.48250672818147","0","0"
"57","4","10","225","409","10.457516339869281","0","0"
"46","4","10","150","1134","40.253748558246826","0","0"
"64","4","12","175","110","42.1760861207228","0","0"
"59","4","10","250","591","29.02729719338716","0","0"
